Symbol,NCBI GeneID,Description,Ensembl GeneIDs
CHMP4A,29082,charged multivesicular body protein 4A,ENSG00000254505
HILPDA,29923,hypoxia inducible lipid droplet associated,ENSG00000135245
VGLL3,389136,vestigial like family member 3,ENSG00000206538
IGLL1,3543,immunoglobulin lambda like polypeptide 1,ENSG00000128322
SUV39H2,79723,SUV39H2 histone lysine methyltransferase,ENSG00000152455
PCDH7,5099,protocadherin 7,ENSG00000169851
TDRD3,81550,tudor domain containing 3,ENSG00000083544
CRTAP,10491,cartilage associated protein,ENSG00000170275
GBA3,57733,glucosylceramidase beta 3 (gene/pseudogene),ENSG00000249948
D2HGDH,728294,D-2-hydroxyglutarate dehydrogenase,ENSG00000180902
PTPN7,5778,protein tyrosine phosphatase non-receptor type 7,ENSG00000143851
ADAMTS2,9509,ADAM metallopeptidase with thrombospondin type 1 motif 2,ENSG00000087116
MICAL2,9645,"microtubule associated monooxygenase, calponin and LIM domain containing 2",ENSG00000133816
HPCA,3208,hippocalcin,ENSG00000121905
SRP19,6728,signal recognition particle 19,ENSG00000153037
RPS6KA4,8986,ribosomal protein S6 kinase A4,ENSG00000162302
MYO1A,4640,myosin IA,ENSG00000166866
EVI5,7813,ecotropic viral integration site 5,ENSG00000067208
RRP1,8568,ribosomal RNA processing 1,ENSG00000160214
NTNG1,22854,netrin G1,ENSG00000162631
BUD23,114049,BUD23 rRNA methyltransferase and ribosome maturation factor,ENSG00000071462
NDUFA8,4702,NADH:ubiquinone oxidoreductase subunit A8,ENSG00000119421
LANCL1,10314,LanC like glutathione S-transferase 1,ENSG00000115365
SOCS7,30837,suppressor of cytokine signaling 7,ENSG00000274211
CENPM,79019,centromere protein M,ENSG00000100162
SAPCD2,89958,suppressor APC domain containing 2,ENSG00000186193
GUCA2A,2980,guanylate cyclase activator 2A,ENSG00000197273
PLPP1,8611,phospholipid phosphatase 1,ENSG00000067113
RHOJ,57381,ras homolog family member J,ENSG00000126785
ATG10,83734,autophagy related 10,ENSG00000152348
TOE1,114034,"target of EGR1, exonuclease",ENSG00000132773
PDCD2,5134,programmed cell death 2,ENSG00000071994
A2ML1,144568,alpha-2-macroglobulin like 1,ENSG00000166535
AAMP,14,angio associated migratory cell protein,ENSG00000127837
GFPT2,9945,glutamine-fructose-6-phosphate transaminase 2,ENSG00000131459
AP1M2,10053,adaptor related protein complex 1 subunit mu 2,ENSG00000129354
ARIH2,10425,ariadne RBR E3 ubiquitin protein ligase 2,ENSG00000177479
RDH11,51109,retinol dehydrogenase 11,ENSG00000072042
CHRNG,1146,cholinergic receptor nicotinic gamma subunit,ENSG00000196811
MUC3A,4584,"mucin 3A, cell surface associated",ENSG00000169894
WDFY3,23001,WD repeat and FYVE domain containing 3,ENSG00000163625
UHMK1,127933,U2AF homology motif kinase 1,ENSG00000152332
DMTN,2039,dematin actin binding protein,ENSG00000158856
TMC6,11322,transmembrane channel like 6,ENSG00000141524
NKAP,79576,NFKB activating protein,ENSG00000101882
FMNL1,752,formin like 1,ENSG00000184922
KRT81,3887,keratin 81,ENSG00000205426
TLE4,7091,"TLE family member 4, transcriptional corepressor",ENSG00000106829
SUPT3H,8464,"SPT3 homolog, SAGA and STAGA complex component",ENSG00000196284
SMNDC1,10285,survival motor neuron domain containing 1,ENSG00000119953
TCIM,56892,transcriptional and immune response regulator,ENSG00000176907
FFAR3,2865,free fatty acid receptor 3,ENSG00000185897
SEC61G,23480,SEC61 translocon subunit gamma,ENSG00000132432
OPRPN,58503,opiorphin prepropeptide,ENSG00000171199
DPH1,1801,diphthamide biosynthesis 1,ENSG00000108963
PIN4,5303,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4",ENSG00000102309
IL1RL2,8808,interleukin 1 receptor like 2,ENSG00000115598
ZMYM3,9203,zinc finger MYM-type containing 3,ENSG00000147130
EMG1,10436,EMG1 N1-specific pseudouridine methyltransferase,ENSG00000126749
NUP188,23511,nucleoporin 188,ENSG00000095319
GAPVD1,26130,GTPase activating protein and VPS9 domains 1,ENSG00000165219
CDCA7L,55536,cell division cycle associated 7 like,ENSG00000164649
NOBOX,135935,NOBOX oogenesis homeobox,ENSG00000106410
H3C11,8354,H3 clustered histone 11,ENSG00000275379
SAP30BP,29115,SAP30 binding protein,ENSG00000161526
VPS37A,137492,VPS37A subunit of ESCRT-I,ENSG00000155975
LZTFL1,54585,leucine zipper transcription factor like 1,ENSG00000163818
AGO4,192670,argonaute RISC component 4,ENSG00000134698
DUSP9,1852,dual specificity phosphatase 9,ENSG00000130829
ATP8A2,51761,ATPase phospholipid transporting 8A2,ENSG00000132932
LTV1,84946,LTV1 ribosome biogenesis factor,ENSG00000135521
TICRR,90381,TOPBP1 interacting checkpoint and replication regulator,ENSG00000140534
CMYA5,202333,cardiomyopathy associated 5,ENSG00000164309
MAGEA2,4101,MAGE family member A2,ENSG00000268606
PHKB,5257,phosphorylase kinase regulatory subunit beta,ENSG00000102893
GCC2,9648,GRIP and coiled-coil domain containing 2,ENSG00000135968
ACOT8,10005,acyl-CoA thioesterase 8,ENSG00000101473
BCKDK,10295,branched chain keto acid dehydrogenase kinase,ENSG00000103507
CHI3L2,1117,chitinase 3 like 2,ENSG00000064886
TESC,54997,tescalcin,ENSG00000088992
CHST14,113189,carbohydrate sulfotransferase 14,ENSG00000169105
SBSN,374897,suprabasin,ENSG00000189001
ZKSCAN1,7586,zinc finger with KRAB and SCAN domains 1,ENSG00000106261
GTF3C4,9329,general transcription factor IIIC subunit 4,ENSG00000125484
PARP3,10039,poly(ADP-ribose) polymerase family member 3,ENSG00000041880
HPD,3242,4-hydroxyphenylpyruvate dioxygenase,ENSG00000158104
PIGK,10026,phosphatidylinositol glycan anchor biosynthesis class K,ENSG00000142892
ATP11C,286410,ATPase phospholipid transporting 11C (ATP11C blood group),ENSG00000101974
UTP20,27340,UTP20 small subunit processome component,ENSG00000120800
IFT74,80173,intraflagellar transport 74,ENSG00000096872
CCDC50,152137,coiled-coil domain containing 50,ENSG00000152492
TIMM13,26517,translocase of inner mitochondrial membrane 13,ENSG00000099800
TRIP4,9325,thyroid hormone receptor interactor 4,ENSG00000103671
UTP4,84916,UTP4 small subunit processome component,ENSG00000141076
NDUFAF4,29078,NADH:ubiquinone oxidoreductase complex assembly factor 4,ENSG00000123545
AZIN1,51582,antizyme inhibitor 1,ENSG00000155096
INTS11,54973,integrator complex subunit 11,ENSG00000127054
SARS2,54938,"seryl-tRNA synthetase 2, mitochondrial",ENSG00000104835
MED28,80306,mediator complex subunit 28,ENSG00000118579
BBS9,27241,Bardet-Biedl syndrome 9,ENSG00000122507
RBM47,54502,RNA binding motif protein 47,ENSG00000163694
PDE6D,5147,phosphodiesterase 6D,ENSG00000156973
RANBP3,8498,RAN binding protein 3,ENSG00000031823
MED21,9412,mediator complex subunit 21,ENSG00000152944
EAF2,55840,ELL associated factor 2,ENSG00000145088
ACKR4,51554,atypical chemokine receptor 4,ENSG00000129048
AGTRAP,57085,angiotensin II receptor associated protein,ENSG00000177674
NCAPG2,54892,non-SMC condensin II complex subunit G2,ENSG00000146918
FMN2,56776,formin 2,ENSG00000155816
NPTX1,4884,neuronal pentraxin 1,ENSG00000171246
TUB,7275,TUB bipartite transcription factor,ENSG00000166402
BLCAP,10904,BLCAP apoptosis inducing factor,ENSG00000166619
MKRN2,23609,makorin ring finger protein 2,ENSG00000075975
ALG6,29929,"ALG6 alpha-1,3-glucosyltransferase",ENSG00000088035
PTF1A,256297,pancreas associated transcription factor 1a,ENSG00000168267
DPPA4,55211,developmental pluripotency associated 4,ENSG00000121570
IRX3,79191,iroquois homeobox 3,ENSG00000177508
CHPF,79586,chondroitin polymerizing factor,ENSG00000123989
SPINK7,84651,serine peptidase inhibitor Kazal type 7,ENSG00000145879
STRBP,55342,spermatid perinuclear RNA binding protein,ENSG00000165209
FKBPL,63943,FKBP prolyl isomerase like,ENSG00000204315
LCA5,167691,lebercilin LCA5,ENSG00000135338
MORF4L2,9643,mortality factor 4 like 2,ENSG00000123562
DCLRE1A,9937,DNA cross-link repair 1A,ENSG00000198924
PPA2,27068,inorganic pyrophosphatase 2,ENSG00000138777
EDF1,8721,endothelial differentiation related factor 1,ENSG00000107223
EGFL6,25975,EGF like domain multiple 6,ENSG00000198759
L3MBTL1,26013,L3MBTL histone methyl-lysine binding protein 1,ENSG00000185513
TRMT1L,81627,tRNA methyltransferase 1L,ENSG00000121486
ATP6V1G1,9550,ATPase H+ transporting V1 subunit G1,ENSG00000136888
RNF135,84282,ring finger protein 135,ENSG00000181481
STON2,85439,stonin 2,ENSG00000140022
RGS12,6002,regulator of G protein signaling 12,ENSG00000159788
TIPARP,25976,TCDD inducible poly(ADP-ribose) polymerase,ENSG00000163659
BRF2,55290,BRF2 general transcription factor IIIB subunit,ENSG00000104221
CYBRD1,79901,cytochrome b reductase 1,ENSG00000071967
TXNL4A,10907,thioredoxin like 4A,ENSG00000141759
MLXIP,22877,MLX interacting protein,ENSG00000175727
MTCH1,23787,mitochondrial carrier 1,ENSG00000137409
TUT7,79670,terminal uridylyl transferase 7,ENSG00000083223
EPHA8,2046,EPH receptor A8,ENSG00000070886
PFDN6,10471,prefoldin subunit 6,ENSG00000204220
RNF146,81847,ring finger protein 146,ENSG00000118518
H2BC26,128312,H2B clustered histone 26,ENSG00000196890
RFXAP,5994,regulatory factor X associated protein,ENSG00000133111
ZNF331,55422,zinc finger protein 331,ENSG00000130844
PPP1R7,5510,protein phosphatase 1 regulatory subunit 7,ENSG00000115685
RARS2,57038,"arginyl-tRNA synthetase 2, mitochondrial",ENSG00000146282
RNF128,79589,ring finger protein 128,ENSG00000133135
UBXN6,80700,UBX domain protein 6,ENSG00000167671
MAPK4,5596,mitogen-activated protein kinase 4,ENSG00000141639
MICU2,221154,mitochondrial calcium uptake 2,ENSG00000165487
PADI6,353238,peptidyl arginine deiminase 6,ENSG00000276747
SUCLG2,8801,succinate-CoA ligase GDP-forming subunit beta,ENSG00000172340
ASCC1,51008,activating signal cointegrator 1 complex subunit 1,ENSG00000138303
ARHGEF28,64283,Rho guanine nucleotide exchange factor 28,ENSG00000214944
B4GALNT2,124872,"beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)",ENSG00000167080
PRUNE2,158471,prune homolog 2 with BCH domain,ENSG00000106772
PLEKHG4,25894,pleckstrin homology and RhoGEF domain containing G4,ENSG00000196155
BMP8A,353500,bone morphogenetic protein 8a,ENSG00000183682
TBCB,1155,tubulin folding cofactor B,ENSG00000105254
HHAT,55733,hedgehog acyltransferase,ENSG00000054392
APMAP,57136,adipocyte plasma membrane associated protein,ENSG00000101474
GABRR2,2570,gamma-aminobutyric acid type A receptor subunit rho2,ENSG00000111886
CEP350,9857,centrosomal protein 350,ENSG00000135837
ADGRG2,10149,adhesion G protein-coupled receptor G2,ENSG00000173698
CGN,57530,cingulin,ENSG00000143375
COLEC11,78989,collectin subfamily member 11,ENSG00000118004
SYTL4,94121,synaptotagmin like 4,ENSG00000102362
HK3,3101,hexokinase 3,ENSG00000160883
CIB2,10518,calcium and integrin binding family member 2,ENSG00000136425
FAM107A,11170,family with sequence similarity 107 member A,ENSG00000168309
ARMC8,25852,armadillo repeat containing 8,ENSG00000114098
MLPH,79083,melanophilin,ENSG00000115648
CSPP1,79848,centrosome and spindle pole associated protein 1,ENSG00000104218
NFX1,4799,"nuclear transcription factor, X-box binding 1",ENSG00000086102
PJA2,9867,praja ring finger ubiquitin ligase 2,ENSG00000198961
S1PR5,53637,sphingosine-1-phosphate receptor 5,ENSG00000180739
MCHR2,84539,melanin concentrating hormone receptor 2,ENSG00000152034
ARHGEF3,50650,Rho guanine nucleotide exchange factor 3,ENSG00000163947
ECSIT,51295,ECSIT signaling integrator,ENSG00000130159
CNOT4,4850,CCR4-NOT transcription complex subunit 4,ENSG00000080802
NEXMIF,340533,neurite extension and migration factor,ENSG00000050030
POU4F2,5458,POU class 4 homeobox 2,ENSG00000151615
RBP2,5948,retinol binding protein 2,ENSG00000114113
MPHOSPH8,54737,M-phase phosphoprotein 8,ENSG00000196199
MBOAT4,619373,membrane bound ghrelin O-acyltransferase MBOAT4,ENSG00000177669
PRKACG,5568,protein kinase cAMP-activated catalytic subunit gamma,ENSG00000165059
CNOT9,9125,CCR4-NOT transcription complex subunit 9,ENSG00000144580
SLC6A19,340024,solute carrier family 6 member 19,ENSG00000174358
IFNA5,3442,interferon alpha 5,ENSG00000147873
ECI2,10455,enoyl-CoA delta isomerase 2,ENSG00000198721
NOP10,55505,NOP10 ribonucleoprotein,ENSG00000182117
RFXANK,8625,regulatory factor X associated ankyrin containing protein,ENSG00000064490
ZMAT3,64393,zinc finger matrin-type 3,ENSG00000172667
H2BC1,255626,H2B clustered histone 1,ENSG00000146047
GFRA2,2675,GDNF family receptor alpha 2,ENSG00000168546
CKMT2,1160,"creatine kinase, mitochondrial 2",ENSG00000131730
UBA7,7318,ubiquitin like modifier activating enzyme 7,ENSG00000182179
SCAMP1,9522,secretory carrier membrane protein 1,ENSG00000085365
GREM2,64388,"gremlin 2, DAN family BMP antagonist",ENSG00000180875
MRAP,56246,melanocortin 2 receptor accessory protein,ENSG00000170262
EMC10,284361,ER membrane protein complex subunit 10,ENSG00000161671
PPIH,10465,peptidylprolyl isomerase H,ENSG00000171960
TFB1M,51106,"transcription factor B1, mitochondrial",ENSG00000029639
XAGE1B,653067,X antigen family member 1B,ENSG00000204382
SLC33A1,9197,solute carrier family 33 member 1,ENSG00000169359
SACM1L,22908,SAC1 like phosphatidylinositide phosphatase,ENSG00000211456
NOL7,51406,nucleolar protein 7,ENSG00000225921
LYL1,4066,LYL1 basic helix-loop-helix family member,ENSG00000104903
MAFK,7975,MAF bZIP transcription factor K,ENSG00000198517
CDHR3,222256,cadherin related family member 3,ENSG00000128536
USP34,9736,ubiquitin specific peptidase 34,ENSG00000115464
LRRC4,64101,leucine rich repeat containing 4,ENSG00000128594
UPP1,7378,uridine phosphorylase 1,ENSG00000183696
CEP164,22897,centrosomal protein 164,ENSG00000110274
NUMBL,9253,NUMB like endocytic adaptor protein,ENSG00000105245
ATP5MF,9551,ATP synthase membrane subunit f,ENSG00000241468
IFT20,90410,intraflagellar transport 20,ENSG00000109083
CLDN19,149461,claudin 19,ENSG00000164007
ACTL6B,51412,actin like 6B,ENSG00000077080
PIH1D1,55011,PIH1 domain containing 1,ENSG00000104872
ATP5MK,84833,ATP synthase membrane subunit k,ENSG00000173915
SREK1,140890,splicing regulatory glutamic acid and lysine rich protein 1,ENSG00000153914
AGR3,155465,"anterior gradient 3, protein disulphide isomerase family member",ENSG00000173467
DAD1,1603,defender against cell death 1,ENSG00000129562
PPP1R3B,79660,protein phosphatase 1 regulatory subunit 3B,ENSG00000173281
SLC15A4,121260,solute carrier family 15 member 4,ENSG00000139370
RFX6,222546,regulatory factor X6,ENSG00000185002
NME3,4832,NME/NM23 nucleoside diphosphate kinase 3,ENSG00000103024
CCDC22,28952,CCC complex scaffolding subunit CCDC22,ENSG00000101997
SCARA3,51435,scavenger receptor class A member 3,ENSG00000168077
OR51E2,81285,olfactory receptor family 51 subfamily E member 2,ENSG00000167332
MAEL,84944,maelstrom spermatogenic transposon silencer,ENSG00000143194
MICALL1,85377,MICAL like 1,ENSG00000100139
CHRDL1,91851,chordin like 1,ENSG00000101938
CDAN1,146059,codanin 1,ENSG00000140326
ATP2C2,9914,ATPase secretory pathway Ca2+ transporting 2,ENSG00000064270
IMP3,55272,IMP U3 small nucleolar ribonucleoprotein 3,ENSG00000177971
SKIC8,80349,SKI8 subunit of superkiller complex,ENSG00000140395
MC5R,4161,melanocortin 5 receptor,ENSG00000176136
MPST,4357,mercaptopyruvate sulfurtransferase,ENSG00000128309
PPP6R1,22870,protein phosphatase 6 regulatory subunit 1,ENSG00000105063
JPT2,90861,Jupiter microtubule associated homolog 2,ENSG00000206053
PBX2,5089,PBX homeobox 2,ENSG00000204304
ACOT7,11332,acyl-CoA thioesterase 7,ENSG00000097021
HIVEP2,3097,HIVEP zinc finger 2,ENSG00000010818
RENBP,5973,renin binding protein,ENSG00000102032
PTPRU,10076,protein tyrosine phosphatase receptor type U,ENSG00000060656
ARHGAP4,393,Rho GTPase activating protein 4,ENSG00000089820
PPP1R12B,4660,protein phosphatase 1 regulatory subunit 12B,ENSG00000077157
BTN2A1,11120,butyrophilin subfamily 2 member A1,ENSG00000112763
VPS52,6293,VPS52 subunit of GARP complex,ENSG00000223501
SLA,6503,Src like adaptor,ENSG00000155926
AP3B2,8120,adaptor related protein complex 3 subunit beta 2,ENSG00000103723
GJB4,127534,gap junction protein beta 4,ENSG00000189433
NVL,4931,nuclear VCP like,ENSG00000143748
PEX10,5192,peroxisomal biogenesis factor 10,ENSG00000157911
HEPH,9843,hephaestin,ENSG00000089472
CNKSR1,10256,connector enhancer of kinase suppressor of Ras 1,ENSG00000142675
PASK,23178,PAS domain containing serine/threonine kinase,ENSG00000115687
TRPM5,29850,transient receptor potential cation channel subfamily M member 5,ENSG00000070985
CCDC86,79080,coiled-coil domain containing 86,ENSG00000110104
CMTM3,123920,CKLF like MARVEL transmembrane domain containing 3,ENSG00000140931
ZFP57,346171,ZFP57 zinc finger protein,ENSG00000204644
LHX8,431707,LIM homeobox 8,ENSG00000162624
FOXI1,2299,forkhead box I1,ENSG00000168269
GMPR,2766,guanosine monophosphate reductase,ENSG00000137198
IFNA7,3444,interferon alpha 7,ENSG00000214042
GLYAT,10249,glycine-N-acyltransferase,ENSG00000149124
FOXR2,139628,forkhead box R2,ENSG00000189299
LPCAT3,10162,lysophosphatidylcholine acyltransferase 3,ENSG00000111684
ACKR5,11318,atypical chemokine receptor 5,ENSG00000166856
SIPA1L1,26037,signal induced proliferation associated 1 like 1,ENSG00000197555
GABRG3,2567,gamma-aminobutyric acid type A receptor subunit gamma3,ENSG00000182256
NIPSNAP2,2631,nipsnap homolog 2,ENSG00000146729
CTSF,8722,cathepsin F,ENSG00000174080
EXOSC1,51013,exosome component 1,ENSG00000171311
IFI35,3430,interferon induced protein 35,ENSG00000068079
LILRA2,11027,leukocyte immunoglobulin like receptor A2,ENSG00000239998
MAF1,84232,MAF1 negative regulator of RNA polymerase III,ENSG00000179632
LSM12,124801,LSM12 homolog,ENSG00000161654
ERLEC1,27248,endoplasmic reticulum lectin 1,ENSG00000068912
TAOK3,51347,TAO kinase 3,ENSG00000135090
SERAC1,84947,serine active site containing 1,ENSG00000122335
GSTM4,2948,glutathione S-transferase mu 4,ENSG00000168765
VPS41,27072,VPS41 subunit of HOPS complex,ENSG00000006715
NDUFB11,54539,NADH:ubiquinone oxidoreductase subunit B11,ENSG00000147123
ASRGL1,80150,asparaginase and isoaspartyl peptidase 1,ENSG00000162174
TANGO2,128989,transport and golgi organization 2 homolog,ENSG00000183597
MYL6B,140465,myosin light chain 6B,ENSG00000196465
OPN1SW,611,"opsin 1, short wave sensitive",ENSG00000128617
SEC11A,23478,"SEC11 homolog A, signal peptidase complex subunit",ENSG00000140612
MRGBP,55257,MRG domain binding protein,ENSG00000101189
RMI2,116028,RecQ mediated genome instability 2,ENSG00000175643
GOLGA5,9950,golgin A5,ENSG00000066455
FILIP1L,11259,filamin A interacting protein 1 like,ENSG00000168386
MAGEA12,4111,MAGE family member A12,ENSG00000213401
KIRREL1,55243,kirre like nephrin family adhesion molecule 1,ENSG00000183853
LARP6,55323,"La ribonucleoprotein 6, translational regulator",ENSG00000166173
PDSS2,57107,decaprenyl diphosphate synthase subunit 2,ENSG00000164494
IFNE,338376,interferon epsilon,ENSG00000184995
SRM,6723,spermidine synthase,ENSG00000116649
DMTF1,9988,cyclin D binding myb like transcription factor 1,ENSG00000135164
EHD4,30844,EH domain containing 4,ENSG00000103966
CARMIL1,55604,capping protein regulator and myosin 1 linker 1,ENSG00000079691
YLPM1,56252,YLP motif containing 1,ENSG00000119596
VCPIP1,80124,valosin containing protein interacting protein 1,ENSG00000175073
MYEOV,26579,myeloma overexpressed,ENSG00000172927
SPATS2L,26010,spermatogenesis associated serine rich 2 like,ENSG00000196141
TRMT112,51504,tRNA methyltransferase activator subunit 11-2,ENSG00000173113
LIN7C,55327,lin-7 cell polarity scaffold C,ENSG00000148943
NBL1,4681,"NBL1, DAN family BMP antagonist",ENSG00000158747
RPF2,84154,ribosome production factor 2 homolog,ENSG00000197498
LAD1,3898,ladinin 1,ENSG00000159166
ZNF224,7767,zinc finger protein 224,ENSG00000267680
SZT2,23334,SZT2 subunit of KICSTOR complex,ENSG00000198198
PLEKHA8,84725,pleckstrin homology domain containing A8,ENSG00000106086
IFNA6,3443,interferon alpha 6,ENSG00000120235
GULP1,51454,GULP PTB domain containing engulfment adaptor 1,ENSG00000144366
TOX4,9878,TOX high mobility group box family member 4,ENSG00000092203
PLEKHA5,54477,pleckstrin homology domain containing A5,ENSG00000052126
RABL6,55684,"RAB, member RAS oncogene family like 6",ENSG00000196642
DGKD,8527,diacylglycerol kinase delta,ENSG00000077044
HMG20A,10363,high mobility group 20A,ENSG00000140382
RPP30,10556,ribonuclease P/MRP subunit p30,ENSG00000148688
RASSF8,11228,Ras association domain family member 8,ENSG00000123094
SEMG2,6407,semenogelin 2,ENSG00000124157
H3C12,8356,H3 clustered histone 12,ENSG00000197153
AP4M1,9179,adaptor related protein complex 4 subunit mu 1,ENSG00000221838
PCDH11X,27328,protocadherin 11 X-linked,ENSG00000102290
UPB1,51733,beta-ureidopropionase 1,ENSG00000100024
AJAP1,55966,adherens junctions associated protein 1,ENSG00000196581
FAM3B,54097,FAM3 metabolism regulating signaling molecule B,ENSG00000183844
TICAM2,353376,TIR domain containing adaptor molecule 2,ENSG00000243414
CIAO1,9391,cytosolic iron-sulfur assembly component 1,ENSG00000144021
EPB41L5,57669,erythrocyte membrane protein band 4.1 like 5,ENSG00000115109
ELOVL6,79071,ELOVL fatty acid elongase 6,ENSG00000170522
CRB3,92359,crumbs cell polarity complex component 3,ENSG00000130545
KDELR2,11014,KDEL endoplasmic reticulum protein retention receptor 2,ENSG00000136240
ECD,11319,ecdysoneless cell cycle regulator,ENSG00000122882
CBLIF,2694,cobalamin binding intrinsic factor,ENSG00000134812
NPFFR2,10886,neuropeptide FF receptor 2,ENSG00000056291
HEMGN,55363,hemogen,ENSG00000136929
ATF7IP,55729,activating transcription factor 7 interacting protein,ENSG00000171681
L3MBTL2,83746,L3MBTL histone methyl-lysine binding protein 2,ENSG00000100395
NABP2,79035,nucleic acid binding protein 2,ENSG00000139579
FAR1,84188,fatty acyl-CoA reductase 1,ENSG00000197601
BCL6B,255877,BCL6B transcription repressor,ENSG00000161940
ABCB8,11194,ATP binding cassette subfamily B member 8,ENSG00000197150
ASAH2,56624,N-acylsphingosine amidohydrolase 2,ENSG00000188611
ZNF512B,57473,zinc finger protein 512B,ENSG00000196700
LTK,4058,leukocyte receptor tyrosine kinase,ENSG00000062524
JADE1,79960,jade family PHD finger 1,ENSG00000077684
BSN,8927,bassoon presynaptic cytomatrix protein,ENSG00000164061
SUGP2,10147,SURP and G-patch domain containing 2,ENSG00000064607
MYO18B,84700,myosin XVIIIB,ENSG00000133454
PDE1A,5136,phosphodiesterase 1A,ENSG00000115252
CNPY2,10330,canopy FGF signaling regulator 2,ENSG00000257727
CEMIP2,23670,cell migration inducing hyaluronidase 2,ENSG00000135048
MTRFR,91574,mitochondrial translation release factor in rescue,ENSG00000130921
STX1B,112755,syntaxin 1B,ENSG00000099365
TROAP,10024,trophinin associated protein,ENSG00000135451
EVA1A,84141,"eva-1 homolog A, regulator of programmed cell death",ENSG00000115363
IYD,389434,iodotyrosine deiodinase,ENSG00000009765
KLK12,43849,kallikrein related peptidase 12,ENSG00000186474
HOOK1,51361,hook microtubule tethering protein 1,ENSG00000134709
KCNJ16,3773,potassium inwardly rectifying channel subfamily J member 16,ENSG00000153822
OSTM1,28962,osteoclastogenesis associated transmembrane protein 1,ENSG00000081087
GPRC5B,51704,G protein-coupled receptor class C group 5 member B,ENSG00000167191
CFC1,55997,"cryptic, EGF-CFC family member 1",ENSG00000136698
TNMD,64102,tenomodulin,ENSG00000000005
SESN3,143686,sestrin 3,ENSG00000149212
ATP6V1C1,528,ATPase H+ transporting V1 subunit C1,ENSG00000155097
HDGFL2,84717,HDGF like 2,ENSG00000167674
SLC25A46,91137,solute carrier family 25 member 46,ENSG00000164209
COL16A1,1307,collagen type XVI alpha 1 chain,ENSG00000084636
SCGN,10590,"secretagogin, EF-hand calcium binding protein",ENSG00000079689
ATAD1,84896,ATPase family AAA domain containing 1,ENSG00000138138
PDE9A,5152,phosphodiesterase 9A,ENSG00000160191
GPR132,29933,G protein-coupled receptor 132,ENSG00000183484
LYRM4,57128,LYR motif containing 4,ENSG00000214113
LGR6,59352,leucine rich repeat containing G protein-coupled receptor 6,ENSG00000133067
CHD6,84181,chromodomain helicase DNA binding protein 6,ENSG00000124177
POLD4,57804,"DNA polymerase delta 4, accessory subunit",ENSG00000175482
SCD5,79966,stearoyl-CoA desaturase 5,ENSG00000145284
CEBPG,1054,CCAAT enhancer binding protein gamma,ENSG00000153879
GRM6,2916,glutamate metabotropic receptor 6,ENSG00000113262
HMG20B,10362,high mobility group 20B,ENSG00000064961
TRAM1,23471,translocation associated membrane protein 1,ENSG00000067167
VPS18,57617,VPS18 core subunit of CORVET and HOPS complexes,ENSG00000104142
ECEL1,9427,endothelin converting enzyme like 1,ENSG00000171551
TBL3,10607,transducin beta like 3,ENSG00000183751
HSPB7,27129,heat shock protein family B (small) member 7,ENSG00000173641
TENT5A,55603,terminal nucleotidyltransferase 5A,ENSG00000112773
TRIM9,114088,tripartite motif containing 9,ENSG00000100505
LHX2,9355,LIM homeobox 2,ENSG00000106689
AQR,9716,aquarius intron-binding spliceosomal factor,ENSG00000021776
ZC3H13,23091,zinc finger CCCH-type containing 13,ENSG00000123200
MYDGF,56005,myeloid derived growth factor,ENSG00000074842
CYP3A43,64816,cytochrome P450 family 3 subfamily A member 43,ENSG00000021461
BEX2,84707,brain expressed X-linked 2,ENSG00000133134
MOAP1,64112,modulator of apoptosis 1,ENSG00000165943
SPON1,10418,spondin 1,ENSG00000262655
FBXO6,26270,F-box protein 6,ENSG00000116663
SARAF,51669,store-operated calcium entry associated regulatory factor,ENSG00000133872
HMCES,56941,"5-hydroxymethylcytosine binding, ES cell specific",ENSG00000183624
XPNPEP2,7512,X-prolyl aminopeptidase 2,ENSG00000122121
CTDSP1,58190,CTD small phosphatase 1,ENSG00000144579
CLDN8,9073,claudin 8,ENSG00000156284
GPR34,2857,G protein-coupled receptor 34,ENSG00000171659
H3C10,8357,H3 clustered histone 10,ENSG00000278828
FAM50A,9130,family with sequence similarity 50 member A,ENSG00000071859
BCL7A,605,BAF chromatin remodeling complex subunit BCL7A,ENSG00000110987
PLCL1,5334,phospholipase C like 1 (inactive),ENSG00000115896
MED6,10001,mediator complex subunit 6,ENSG00000133997
ZHX1,11244,zinc fingers and homeoboxes 1,ENSG00000165156
PADI3,51702,peptidyl arginine deiminase 3,ENSG00000142619
SIGLEC10,89790,sialic acid binding Ig like lectin 10,ENSG00000142512
TGM4,7047,transglutaminase 4,ENSG00000163810
CPA4,51200,carboxypeptidase A4,ENSG00000128510
PANX2,56666,pannexin 2,ENSG00000073150
ABCG4,64137,ATP binding cassette subfamily G member 4,ENSG00000172350
KCTD7,154881,potassium channel tetramerization domain containing 7,ENSG00000243335
INPP4A,3631,inositol polyphosphate-4-phosphatase type I A,ENSG00000040933
H3C8,8355,H3 clustered histone 8,ENSG00000273983
CAMSAP2,23271,calmodulin regulated spectrin associated protein family member 2,ENSG00000118200
NCKIPSD,51517,NCK interacting protein with SH3 domain,ENSG00000213672
CCNT2,905,cyclin T2,ENSG00000082258
MANBA,4126,mannosidase beta,ENSG00000109323
